# AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
20107,tt4460878,wolf-creek,Wolf_Creek/20332401
20108,tt7349016,les-rivieres-pourpres,Les_Rivieres_pourpres/29415970
20122,tt5292622,when-we-rise,When_We_Rise/20066452
20124,tt5212822,imposters,Imposters/23844419
20131,tt4953128,animals,Animals/18303752
20134,tt4555364,knightfall,Knightfall/23273349
20136,tt2577192,howards-end,Howards_End/28527461
20138,tt2761354,nowhere-boys,Nowhere_Boys/17844713
20141,tt5651032,ride-upon-the-storm,Au_nom_du_pere/25187869
20143,tt5290382,mindhunter,Mindhunter/20063745
20150,tt1734135,trollhunters,Chasseurs_de_Trolls_Les_Contes_d_Arcadia/23108672
20153,tt5503718,gypsy,Gypsy/25341021
20164,tt5111414,harley-and-the-davidsons,Harley_and_the_Davidsons/21944184
20168,tt5541338,six,Six/21250270
20175,tt5421602,anne-with-an-e,Anne_with_an_E/24537294
20177,tt5730690,kiss-me-first,Kiss_Me_First/20508084
20178,tt5720168,marlon,Marlon/21325824
20179,tt5467814,haters-back-off,Haters_Back_Off/21148863
20182,tt5345490,24-legacy,24_Legacy/21241697
20185,tt5348176,barry,Barry/26696271
20186,tt5339440,one-day-at-a-time-2017,Au_fil_des_jours/23164457
20198,tt2261227,altered-carbon,Altered_Carbon/19719820
20201,tt5500158,pitch,Pitch/21716839
20203,tt5736758,glace,Glace/24114840
20209,tt5464086,midnight-texas,Midnight_Texas/22012380
20213,tt5430288,gaycation,Gaycation/19251017
20223,tt6076336,greenhouse-academy,Greenhouse_Academy/27695430
20225,tt5028002,startup,Start_Up/20947358
20229,tt5396394,american-housewife,American_Housewife/21325940
20232,tt5239494,the-collection,The_Collection/22771988
20247,tt5706996,girlboss,Girlboss/24353594
20251,tt5827228,bull-2016,Bull/21783145
20267,tt5396572,conviction-2016,Conviction/21276325
20277,tt5542294,apb,APB_Alerte_d_urgence/21263427
20285,tt5462886,you-are-wanted,You_Are_Wanted/24554846
20287,tt5536400,man-with-a-plan,Papa_a_un_plan/21313348
20294,tt5705956,the-white-princess,The_White_Princess/22961619
20296,tt10338160,chad,Chad/43920702
20301,tt4667888,slasher,Slasher/18939829
20311,tt5159916,thirteen,Thirteen/19499092
20313,tt4975856,future-man,Future_Man/25927107
20314,tt5369352,eyewitness-us,Eyewitness/22417798
20318,tt4845906,stag,Stag/19641858
20319,tt2140663,when-the-street-lights-go-on,When_The_Streetlights_Go_On/24958545
20320,tt5478730,i-love-dick,I_Love_Dick/22289028
20321,tt5640060,chicago-justice,Chicago_Justice/21361308
20322,tt2649356,sharp-objects,Sharp_Objects/28775213
20328,tt5753856,dark,Dark/28101387
20330,tt6461706,ten-days-in-the-valley,Ten_Days_in_the_Valley/27854550
20333,tt6137888,innocente,Innocente/36481878
20339,tt7944664,b-the-beginning,B_The_Beginning/29029421
20343,tt5516154,godless-2017,Godless/27095254
20346,tt5189554,soy-luna,Soy_Luna/20908570
20347,tt5512432,daytime-divas,Daytime_Divas/24128410
20351,tt5515212,big-hero-6-the-series,Baymax_et_les_Nouveaux_Heros/24495792
20354,tt2708480,the-terror,The_Terror/24353509
20365,tt7010622,vampirina,Disney_s_Vampirina/27851506
20372,tt5664952,trust-2018,Trust/29313921
20374,tt5797772,aftermath-2016,Aftermath/22425068
20375,tt5540054,the-tick-2016,The_Tick/22949383
20379,tt5324116,swedish-dicks,Swedish_Dicks/22635053
20381,tt5562056,easy,Easy/22851222
20384,tt4999820,au-dela-des-murs,Au_dela_des_murs/22560907
20386,tt6149182,heathers,Heathers/27253111
20388,tt5580146,maniac-2018,Maniac/19949690
20389,tt5580540,santa-clarita-diet,Santa_Clarita_Diet/23817619
20395,tt4047038,dirk-gentlys-holistic-detective-agency,Dirk_Gently_detective_holistique/21914146
20402,tt5137338,victoria,Victoria/17967823
20405,tt5592230,the-blacklist-redemption,The_Blacklist_Redemption/22949681
20413,tt9844334,vernon-subutex,Vernon_Subutex/20139531
20415,tt4792480,la-treve,La_Treve/17110010
20437,tt5269594,marcella,Marcella/20007686
20452,tt6110318,law-order-true-crime,Law_Order_True_Crime/25477213
20454,tt3543082,beau-sejour,Beau_Sejour/23164215
20456,tt5614844,marvels-cloak-dagger,Marvel_s_Cloak_Dagger/21899026
20458,tt5820976,le-marginal,El_Marginal/20941747
20460,tt4591834,nobel,Nobel/23069549
20461,tt4706558,ennemi-public,Ennemi_public/20311137
20462,tt4228802,the-kettering-incident,The_Kettering_Incident/16046045
20463,tt5894782,irresponsable,Irresponsable/21914148
20466,tt4937942,bordertown-fi-2016,Bordertown/18057045
20467,tt4699982,rebellion,Rebellion/18817941
20475,tt5194410,spring-tide,Spring_Tide/22015707
20477,tt5619658,flowers,Flowers/20237634
20483,tt6116060,the-bold-type,The_Bold_Type/24668202
20490,tt5674718,cable-girls,Les_Demoiselles_du_telephone/25228906
20491,tt5435008,gilmore-girls-a-year-in-the-life,Gilmore_Girls_Une_nouvelle_annee/21289552
20495,tt4341996,gangland-undercover,Gangland_Undercover/18382391
20512,tt1869454,good-omens,Good_Omens/24517542
20518,tt5651844,travelers-2017,Les_Voyageurs_du_temps/23082159
20525,tt4549142,elena-of-avalor,Elena_d_Avalor/21779581
20527,tt5992164,snatch,Snatch/24452330
20539,tt6128254,lodge-49,Lodge_49/32117263
20544,tt5670764,watership-down-2018,La_Colline_aux_Lapins/37801910
20561,tt5691552,the-orville,The_Orville/25346668
20562,tt5707802,dear-white-people,Dear_White_People/24779763
20563,tt1984119,feud,Feud/24410214
20570,tt5711280,philip-k-dicks-electric-dreams,Philip_K_Dick_s_Electric_Dreams/27520968
20573,tt5807292,barbarians-rising,Revoltes_barbares/21228513
20586,tt5687446,mum,Mum/21100023
20589,tt7956274,edha,EDHA/30995566
20590,tt5853176,the-good-fight,The_Good_Fight/23942870
20591,tt5015548,agatha-raisin,Agatha_Raisin/21508516
20597,tt5640558,claws,Claws/25758697
20603,tt6692188,el-chapo,El_Chapo/25289124
20604,tt6143796,workin-moms,Workin_Moms/24395389
20607,tt5761478,harlots,Harlots/23844690
20609,tt2514438,high-maintenance,High_Maintenance/22914366
20610,tt2942218,log-horizon,Log_Horizon/18269953
20611,tt5687612,fleabag,Fleabag/22336740
20621,tt5770786,glow,GLOW/24932609
20622,tt5770788,sick-note,Sick_Note/23418556
20633,tt6077448,sacred-games,Le_Seigneur_de_Bombay/30814990
20636,tt5809150,ransom,Ransom/22437676
20647,tt4607112,tin-star,Tin_Star/25039976
20649,tt5722298,private-eyes,Private_Eyes/21160262
20658,tt4976512,secret-city,Secret_City/21026843
20665,tt6519410,zone-blanche,Zone_blanche/24985539
20666,tt5830254,das-boot-2018,Das_Boot/37840072
20668,tt7369974,step-up-high-water,Step_Up_High_Water/29077680
20669,tt4508902,one-punch-man,One_Punch_Man/13386643
20670,tt5895314,kuromukuro,Kuromukuro/19746065
20672,tt3556544,trois-fois-manon,Manon_20_ans/37896251
20673,tt6054882,commissariat-central,Commissariat_Central/22697277
20677,tt5834204,the-handmaids-tale,The_Handmaid_s_Tale_La_Servante_ecarlate/21032442
20680,tt6106704,damnation,Damnation/27274561
20697,tt7660850,succession,Succession/32576517
20705,tt6190050,lart-du-crime,L_Art_du_crime/28339223
20709,tt6340430,les-grands,Les_Grands/22620943
20710,tt6206160,munch,Munch/23192558
20712,tt5863126,last-chance-u,Last_Chance_U/22417860
20720,tt4396630,the-gifted,The_Gifted/25802206
20721,tt5884792,disjointed,Disjointed/25230043
20730,tt7902072,safe,Safe/29701763
20733,tt3837246,assassination-classroom,Assassination_Classroom/11857244
20743,tt5924572,deadly-class,Deadly_Class/37736179
20747,tt5900600,les-miserables-2019,Les_Miserables/38749580
